Geneid	"RNA STAR on data 17, data 15, and data 5: mapped.bam"	Public Name
WBGene00000070	392	acy-3
WBGene00000071	467	acy-4
WBGene00000072	389	add-1
WBGene00000073	1657	add-2
WBGene00000074	2223	adm-2
WBGene00000075	1943	adm-4
WBGene00000079	5471	adr-1
WBGene00000080	7209	adr-2
WBGene00000081	4193	ads-1
WBGene00000082	117	adt-1
WBGene00000083	1317	adt-2
WBGene00000084	357	aex-1
WBGene00000085	29	aex-2
WBGene00000086	399	aex-3
WBGene00000088	554	aex-5
WBGene00000089	170	aex-6
WBGene00000090	7643	age-1
WBGene00000092	1873	ags-3
WBGene00000093	1701	agt-1
WBGene00000094	2375	agt-2
WBGene00000095	1374	aha-1
WBGene00000096	41	ahr-1
WBGene00000097	2702	aip-1
WBGene00000098	19169	air-1
WBGene00000099	7498	air-2
WBGene00000100	3832	ajm-1
WBGene00000101	25993	aka-1
WBGene00000102	18921	akt-1
WBGene00000103	1281	akt-2
WBGene00000105	3617	alg-1
WBGene00000106	5528	alg-2
WBGene00000107	15692	alh-1
WBGene00000108	3	alh-2
WBGene00000109	4045	alh-3
WBGene00000110	9412	alh-4
WBGene00000111	223	alh-5
WBGene00000112	3235	alh-6
WBGene00000113	2098	alh-7
WBGene00000114	42263	alh-8
WBGene00000115	8039	alh-9
WBGene00000116	828	alh-10
WBGene00000117	3078	alh-11
WBGene00000118	2054	alh-12
WBGene00000120	2327	aly-1
WBGene00000121	22325	aly-2
WBGene00000122	12149	aly-3
WBGene00000123	12869	ama-1
WBGene00000133	13	amt-1
WBGene00000134	32	amt-2
WBGene00000135	117	amt-3
WBGene00000136	1179	amt-4
WBGene00000137	1734	amx-1
WBGene00000138	462	amx-2
WBGene00000139	203	amx-3
WBGene00000140	2166	anc-1
WBGene00000142	8545	aos-1
WBGene00000143	6374	apc-2
WBGene00000144	2591	apc-10
WBGene00000145	3633	apc-11
WBGene00000146	16648	ape-1
WBGene00000147	3290	aph-1
WBGene00000148	3847	aph-2
WBGene00000149	9272	apl-1
WBGene00000150	945	apm-1
WBGene00000151	5219	apn-1
WBGene00000155	16879	app-1
WBGene00000156	17138	apr-1
WBGene00000157	1465	aps-2
WBGene00000158	5956	apg-1
WBGene00000159	2706	aps-1
WBGene00000160	8521	apb-1
WBGene00000161	3982	apa-2
WBGene00000162	5474	apd-3
WBGene00000163	12309	apb-3
WBGene00000164	986	apm-3
WBGene00000165	4197	aps-3
WBGene00000166	33	apt-9
WBGene00000168	10031	apx-1
WBGene00000169	1463	aqp-1
WBGene00000170	1963	aqp-2
WBGene00000171	52	aqp-3
WBGene00000172	222	aqp-4
WBGene00000173	10	aqp-5
WBGene00000174	86	aqp-6
WBGene00000175	1933	aqp-7
WBGene00000176	1068	aqp-8
WBGene00000177	212	aqp-9
WBGene00000178	1509	aqp-10
WBGene00000179	1005	aqp-11
WBGene00000180	614	arc-1
WBGene00000181	7921	ard-1
WBGene00000182	15595	arf-1
WBGene00000183	17235	arf-5
WBGene00000184	2327	arf-6
WBGene00000185	1	arg-1
WBGene00000186	4618	ark-1
WBGene00000187	3110	arl-1
WBGene00000188	48	arl-3
WBGene00000189	1806	arl-5
WBGene00000190	34	warf-1
WBGene00000191	37	arl-7
WBGene00000192	9742	arl-8
WBGene00000193	12	arl-6
WBGene00000195	1465	arr-1
WBGene00000196	1988	aars-1
WBGene00000197	27283	aars-2
WBGene00000198	8764	art-1
WBGene00000199	5068	arx-1
WBGene00000200	9420	arx-2
WBGene00000201	6380	arx-3
WBGene00000202	5468	exos-4.2
WBGene00000203	3296	arx-5
WBGene00000204	3731	arx-6
WBGene00000205	2182	arx-7
WBGene00000206	18577	asb-1
WBGene00000207	8829	asb-2
WBGene00000208	4337	trip-4
WBGene00000209	9700	asg-1
WBGene00000210	3217	asg-2
WBGene00000211	406	asm-1
WBGene00000212	1568	asm-2
WBGene00000213	3705	asm-3
WBGene00000214	49113	asp-1
WBGene00000215	15900	asp-2
WBGene00000216	77410	asp-3
WBGene00000217	27454	asp-4
WBGene00000218	35863	asp-5
WBGene00000219	75782	asp-6
WBGene00000220	153	atf-2
WBGene00000221	0	atf-4
WBGene00000222	1351	atf-6
WBGene00000223	14376	atf-7
WBGene00000224	1825	atgp-1
WBGene00000225	866	atgp-2
WBGene00000226	8645	atl-1
WBGene00000227	5790	atm-1
WBGene00000228	2763	atn-1
WBGene00000229	119032	atp-2
WBGene00000230	26215	atp-3
WBGene00000231	18038	atx-2
WBGene00000232	174	avr-14
WBGene00000233	391	avr-15
WBGene00000235	6032	baf-1
WBGene00000236	4196	bag-1
WBGene00000237	1297	bam-2
WBGene00000238	482	bar-1
WBGene00000239	713	bas-1
WBGene00000240	2278	pah-1
WBGene00000241	27	bbs-1
WBGene00000242	24	bbs-2
WBGene00000244	33	bbs-8
WBGene00000245	779	bca-1
WBGene00000246	176	bcc-1
WBGene00000247	3416	bec-1
WBGene00000248	2034	ben-1
WBGene00000249	4135	bir-1
WBGene00000250	5148	bir-2
WBGene00000251	41	bli-1
WBGene00000252	43	bli-2
WBGene00000253	971	bli-3
WBGene00000254	21911	bli-4
WBGene00000255	30	bli-5
WBGene00000256	236	bli-6
WBGene00000257	11330	bmk-1
WBGene00000259	2613	bpl-1
WBGene00000262	425	bra-1
WBGene00000263	9664	F23H11.5
WBGene00000264	3207	brc-1
WBGene00000265	4380	brd-1
WBGene00000266	816	bre-1
WBGene00000267	127	bre-2
WBGene00000268	6967	bre-3
WBGene00000269	2187	bre-4
WBGene00000270	1453	bre-5
WBGene00000271	6129	brf-1
WBGene00000272	24	bro-1
WBGene00000273	43051	brp-1
WBGene00000274	6666	btf-1
WBGene00000275	19880	bub-1
WBGene00000276	7509	byn-1
WBGene00000277	3840	cab-1
WBGene00000279	205	cah-1
WBGene00000280	86	cah-2
WBGene00000281	1074	cah-3
WBGene00000282	5661	cah-4
WBGene00000283	801	cah-5
WBGene00000284	94	cah-6
WBGene00000285	202	cal-1
WBGene00000286	236	cal-2
WBGene00000287	98	cal-3
WBGene00000288	110	cal-4
WBGene00000289	7872	cam-1
WBGene00000292	7524	cap-1
WBGene00000293	10077	cap-2
WBGene00000294	4549	cas-1
WBGene00000295	29	cat-1
WBGene00000296	44	cat-2
WBGene00000298	2995	cat-4
WBGene00000301	11782	cav-1
WBGene00000302	202	cav-2
WBGene00000308	3	C04A11.t1
WBGene00000310	0	C05C9.t1
WBGene00000311	0	C05C9.t2
WBGene00000366	18488	cbp-1
WBGene00000367	543	cca-1
WBGene00000368	355	ccb-1
WBGene00000369	8652	ccf-1
WBGene00000370	4671	ccg-1
WBGene00000371	12638	cox-5B
WBGene00000372	71	cyp-13A7
WBGene00000373	569	cyp-14A5
WBGene00000374	516	cyp-31A1
WBGene00000375	3431	cyp-44A1
WBGene00000376	30320	ccr-4
WBGene00000377	25142	cct-1
WBGene00000378	20410	cct-2
WBGene00000379	23196	cct-4
WBGene00000380	31787	cct-5
WBGene00000381	24420	cct-6
WBGene00000382	8575	cdc-6
WBGene00000383	12494	cdc-14
WBGene00000386	18996	cdc-25.1
WBGene00000387	3832	cdc-25.2
WBGene00000388	2644	cdc-25.3
WBGene00000389	2	cdc-25.4
WBGene00000390	13558	cdc-42
WBGene00000391	208	cdd-1
WBGene00000392	2455	cdd-2
WBGene00000393	1849	cdf-1
WBGene00000395	569	cdh-3
WBGene00000396	7742	cdh-4
WBGene00000397	274	cdh-5
WBGene00000399	62	cdh-7
WBGene00000401	98	cdh-9
WBGene00000402	193	cdh-10
WBGene00000403	2488	casy-1
WBGene00000405	23633	cdk-1
WBGene00000406	657	cdk-4
WBGene00000407	3248	cdk-5
WBGene00000408	6172	cdk-7
WBGene00000409	7684	cdk-8
WBGene00000410	2918	cdk-9
WBGene00000411	22824	cdl-1
WBGene00000412	47	cdr-1
WBGene00000413	5402	cdt-1
WBGene00000414	2120	cec-1
WBGene00000415	7873	ced-1
WBGene00000416	6246	ced-2
WBGene00000417	17451	ced-3
WBGene00000418	2739	ced-4
WBGene00000419	8578	ced-5
WBGene00000420	5607	ced-6
WBGene00000421	19668	ced-7
WBGene00000422	410	ced-8
WBGene00000423	7654	ced-9
WBGene00000424	2427	ced-10
WBGene00000425	481	ced-11
WBGene00000426	7368	ced-12
WBGene00000427	3	ced-13
WBGene00000428	22	ceh-1
WBGene00000429	15	ceh-2
WBGene00000430	18	ceh-5
WBGene00000431	54	ceh-6
WBGene00000432	1	ceh-7
WBGene00000433	4	ceh-8
WBGene00000434	4	ceh-9
WBGene00000435	164	ceh-10
WBGene00000436	1	ceh-12
WBGene00000437	318	ceh-13
WBGene00000438	72	ceh-14
WBGene00000439	147	ceh-16
WBGene00000440	4	ceh-17
WBGene00000441	408	ceh-18
WBGene00000442	60	ceh-19
WBGene00000443	947	ceh-20
WBGene00000444	2707	ceh-21
WBGene00000445	37	ceh-22
WBGene00000446	10	ceh-23
WBGene00000447	8	ceh-24
WBGene00000448	89	pros-1
WBGene00000449	39	ceh-27
WBGene00000450	1	ceh-28
WBGene00000451	26	ceh-30
WBGene00000452	7	ceh-31
WBGene00000453	1408	ceh-32
WBGene00000454	7	ceh-33
WBGene00000455	67	ceh-34
WBGene00000457	23	ceh-36
WBGene00000458	337	ceh-37
WBGene00000459	12534	ceh-38
WBGene00000460	3069	ceh-39
WBGene00000461	718	ceh-40
WBGene00000462	1057	ceh-41
WBGene00000463	876	ceh-43
WBGene00000464	1204	ceh-44
WBGene00000465	222479	cpg-1
WBGene00000466	5307	cel-1
WBGene00000467	5693	cep-1
WBGene00000468	9	ces-1
WBGene00000469	106	ces-2
WBGene00000472	26777	cey-1
WBGene00000473	146778	cey-2
WBGene00000474	60499	cey-3
WBGene00000475	44354	cey-4
WBGene00000476	91	cfi-1
WBGene00000477	93	cft-1
WBGene00000478	413	cfz-2
WBGene00000479	146294	cgh-1
WBGene00000480	13566	cgp-1
WBGene00000481	84	cha-1
WBGene00000482	4066	chd-3
WBGene00000483	1	che-1
WBGene00000484	20	che-2
WBGene00000485	163	che-3
WBGene00000487	6	che-6
WBGene00000488	65	che-7
WBGene00000490	53	che-11
WBGene00000491	43	che-12
WBGene00000492	33	che-13
WBGene00000493	126	che-14
WBGene00000496	38831	chs-1
WBGene00000497	482	chs-2
WBGene00000498	5684	chk-1
WBGene00000499	550	chk-2
WBGene00000500	6839	chn-1
WBGene00000501	45	cho-1
WBGene00000502	4022	chp-1
WBGene00000503	11909	cht-1
WBGene00000506	2148	cic-1
WBGene00000507	4753	cit-1.1
WBGene00000508	2144	cit-1.2
WBGene00000509	4209	cka-1
WBGene00000510	125	cka-2
WBGene00000511	183	ckb-1
WBGene00000512	602	ckb-2
WBGene00000513	0	ckb-3
WBGene00000514	700	ckb-4
WBGene00000515	563	ckc-1
WBGene00000516	251	cki-1
WBGene00000517	4117	cki-2
WBGene00000518	112	ckk-1
WBGene00000519	6063	cku-70
WBGene00000520	6289	cku-80
WBGene00000521	17	cky-1
WBGene00000522	829	clc-1
WBGene00000523	154	clc-2
WBGene00000524	96	clc-3
WBGene00000525	4	clc-4
WBGene00000526	143	clc-5
WBGene00000527	1917	cle-1
WBGene00000528	2768	clh-1
WBGene00000529	118	clh-2
WBGene00000530	2736	clh-3
WBGene00000531	73	clh-4
WBGene00000532	6502	clh-5
WBGene00000533	4930	clh-6
WBGene00000534	11967	cpi-2
WBGene00000535	33321	cpi-1
WBGene00000536	1624	clk-1
WBGene00000537	5603	clk-2
WBGene00000539	120	cln-3.1
WBGene00000540	1609	cln-3.2
WBGene00000541	47	cln-3.3
WBGene00000542	13558	clp-1
WBGene00000543	3964	clp-2
WBGene00000544	91	clp-3
WBGene00000545	1285	clp-4
WBGene00000546	72	clp-6
WBGene00000547	7040	clp-7
WBGene00000548	13830	clr-1
WBGene00000549	6074	cls-2
WBGene00000550	15766	clu-1
WBGene00000551	33	clx-1
WBGene00000552	20107	cmd-1
WBGene00000553	128	cmk-1
WBGene00000554	1550	cnb-1
WBGene00000555	13	cnc-1
WBGene00000556	1062	cnc-2
WBGene00000557	655	cnc-3
WBGene00000558	1627	cnc-4
WBGene00000559	0	cnc-5
WBGene00000560	139	cnc-6
WBGene00000561	28	cnd-1
WBGene00000562	128	cng-1
WBGene00000563	9	cng-3
WBGene00000564	6252	cnk-1
WBGene00000565	4398	cnt-1
WBGene00000566	5275	cnt-2
WBGene00000567	16374	cnx-1
WBGene00000583	70	cof-2
WBGene00000584	37	cog-1
WBGene00000585	6322	cogc-2
WBGene00000591	2822	coh-1
WBGene00000592	5599	coh-3
WBGene00000593	5	col-2
WBGene00000594	30	col-3
WBGene00000596	3	col-7
WBGene00000597	4738	col-8
WBGene00000598	3	col-9
WBGene00000599	605	col-10
WBGene00000601	90	col-12
WBGene00000602	56	col-13
WBGene00000603	430	col-14
WBGene00000606	1124	col-17
WBGene00000608	4377	col-19
WBGene00000609	2781	col-20
WBGene00000610	16	col-33
WBGene00000611	194	col-34
WBGene00000612	1	col-35
WBGene00000613	3	col-36
WBGene00000614	1	col-37
WBGene00000615	526	col-38
WBGene00000616	342	col-39
WBGene00000617	8	col-40
WBGene00000618	743	col-41
WBGene00000620	513	col-43
WBGene00000621	3	col-44
WBGene00000622	18	col-45
WBGene00000623	27	col-46
WBGene00000624	1	col-47
WBGene00000625	243	col-48
WBGene00000626	125	col-49
WBGene00000627	18	col-50
WBGene00000628	2	col-51
WBGene00000629	1	col-52
WBGene00000630	53	col-53
WBGene00000631	112	col-54
WBGene00000632	1	col-55
WBGene00000633	3	col-56
WBGene00000634	52	col-58
WBGene00000636	114	col-60
WBGene00000637	13	col-61
WBGene00000638	7	col-62
WBGene00000639	194	col-63
WBGene00000640	26	col-64
WBGene00000641	220	col-65
WBGene00000642	0	col-66
WBGene00000644	151	col-68
WBGene00000645	7	col-69
WBGene00000646	13	H17B01.2
WBGene00000647	325	col-71
WBGene00000648	2	col-72
WBGene00000649	862	col-73
WBGene00000650	465	col-74
WBGene00000651	2	col-75
WBGene00000652	863	col-76
WBGene00000653	498	col-77
WBGene00000654	2	col-78
WBGene00000655	6	col-79
WBGene00000656	8129	col-80
WBGene00000657	264	col-81
WBGene00000658	29	col-83
WBGene00000659	18	col-84
WBGene00000660	47	col-85
WBGene00000661	23	col-86
WBGene00000662	2	col-87
WBGene00000663	70	col-88
WBGene00000664	32	col-89
WBGene00000665	668	col-90
WBGene00000666	74	col-91
WBGene00000667	98	col-92
WBGene00000668	475	col-93
WBGene00000669	114	col-94
WBGene00000670	26541	col-95
WBGene00000671	217	col-96
WBGene00000672	442	col-97
WBGene00000673	3091	col-98
WBGene00000674	264	col-99
WBGene00000675	24872	col-101
WBGene00000676	4	col-102
WBGene00000677	2851	col-103
WBGene00000678	265	col-104
WBGene00000679	3	col-105
WBGene00000680	25420	col-106
WBGene00000681	640	col-107
WBGene00000682	2	col-108
WBGene00000683	243	col-109
WBGene00000684	19	col-110
WBGene00000685	165	col-111
WBGene00000687	104	col-113
WBGene00000688	1	col-114
WBGene00000689	65	col-115
WBGene00000690	217	col-116
WBGene00000691	30	col-117
WBGene00000692	319	col-118
WBGene00000693	27992	col-119
WBGene00000694	101	col-120
WBGene00000695	84	col-121
WBGene00000696	53874	col-122
WBGene00000697	6	col-123
WBGene00000698	4484	col-124
WBGene00000699	1206	col-125
WBGene00000700	0	col-126
WBGene00000701	0	col-127
WBGene00000702	15	col-128
WBGene00000703	265	col-129
WBGene00000704	189	col-130
WBGene00000705	18	col-131
WBGene00000706	12	col-132
WBGene00000707	205	col-133
WBGene00000708	132	col-135
WBGene00000709	3	col-136
WBGene00000710	15	col-137
WBGene00000711	227	col-138
WBGene00000712	309	col-139
WBGene00000713	19517	col-140
WBGene00000714	11	col-141
WBGene00000715	345	col-142
WBGene00000716	20733	col-143
WBGene00000717	388	col-144
WBGene00000718	193	col-145
WBGene00000719	40	col-146
WBGene00000720	166	col-147
WBGene00000721	0	col-148
WBGene00000722	158	col-149
WBGene00000723	102	col-150
WBGene00000724	11	col-151
WBGene00000725	10	col-152
WBGene00000726	102	col-153
WBGene00000727	55	col-154
WBGene00000728	127	col-155
WBGene00000729	89	col-156
WBGene00000730	135	col-157
WBGene00000731	660	col-158
WBGene00000732	321	col-159
WBGene00000733	2891	col-160
WBGene00000734	206	col-161
WBGene00000735	102	col-162
WBGene00000736	9	col-163
WBGene00000737	1	col-164
WBGene00000738	479	col-165
WBGene00000739	1039	col-166
WBGene00000740	387	col-167
WBGene00000741	57	col-168
WBGene00000742	166	col-169
WBGene00000743	78	col-170
WBGene00000744	1	col-171
WBGene00000745	20	col-172
WBGene00000746	54	col-173
WBGene00000747	18	col-174
WBGene00000748	132	col-175
WBGene00000749	160	col-176
WBGene00000750	12	col-177
WBGene00000751	8280	col-178
WBGene00000752	987	col-179
WBGene00000753	227	col-180
WBGene00000754	46177	col-181
WBGene00000755	33	col-182
WBGene00000756	2253	col-183
WBGene00000757	24721	col-184
WBGene00000758	0	col-185
WBGene00000759	33	col-186
WBGene00000760	17	col-187
WBGene00000761	1928	coq-1
WBGene00000762	2142	coq-2
WBGene00000763	1045	coq-3
WBGene00000764	968	coq-4
WBGene00000765	3852	coq-5
WBGene00000766	2833	coq-6
WBGene00000767	5310	coq-8
WBGene00000768	264	cor-1
WBGene00000770	5538	cpb-1
WBGene00000771	35	cpb-2
WBGene00000772	17179	cpb-3
WBGene00000773	6161	cpf-1
WBGene00000774	6237	cpf-2
WBGene00000775	318	cpin-1
WBGene00000776	48808	cpl-1
WBGene00000777	18727	cpn-1
WBGene00000778	114	cpn-2
WBGene00000779	4718	cpn-3
WBGene00000780	1761	cpn-4
WBGene00000781	72522	cpr-1
WBGene00000782	72	cpr-2
WBGene00000783	1521	cpr-3
WBGene00000784	25988	cpr-4
WBGene00000785	2727	cpr-5
WBGene00000786	55518	cpr-6
WBGene00000787	2794	cps-6
WBGene00000788	13759	cpz-1
WBGene00000789	4937	cpz-2
WBGene00000792	853	crb-1
WBGene00000793	1699	crh-1
WBGene00000794	11775	crn-1
WBGene00000795	1244	crn-2
WBGene00000796	11128	crn-3
WBGene00000797	1000	crn-4
WBGene00000798	2284	crn-5
WBGene00000799	363	crn-6
WBGene00000800	11216	cars-1
WBGene00000801	308	cars-2
WBGene00000802	68663	crt-1
WBGene00000803	2228	csb-1
WBGene00000804	6088	csc-1
WBGene00000812	4805	csk-1
WBGene00000813	5919	csn-1
WBGene00000814	9324	csn-2
WBGene00000815	7191	csn-3
WBGene00000816	6196	csn-4
WBGene00000817	7205	csn-5
WBGene00000818	7453	csn-6
WBGene00000819	43	csp-1
WBGene00000820	17	csp-2
WBGene00000821	8	csp-3
WBGene00000822	3131	csq-1
WBGene00000829	58836	ctb-1
WBGene00000830	31	ctl-1
WBGene00000831	3392	ctl-2
WBGene00000832	1396	ctn-1
WBGene00000833	37841	cts-1
WBGene00000834	8240	cua-1
WBGene00000835	1889	cuc-1
WBGene00000836	10223	cul-1
WBGene00000837	18306	cul-2
WBGene00000838	18874	cul-3
WBGene00000839	7067	cul-4
WBGene00000840	6301	cul-5
WBGene00000841	181	cul-6
WBGene00000843	8780	cup-2
WBGene00000845	248	cup-4
WBGene00000846	7640	cup-5
WBGene00000851	9	cut-1
WBGene00000853	190	cut-6
WBGene00000854	4286	cux-7
WBGene00000857	223	cwn-1
WBGene00000858	154	cwn-2
WBGene00000859	0	cwp-1
WBGene00000860	1	cwp-2
WBGene00000861	1	cwp-3
WBGene00000862	28	cwp-4
WBGene00000863	9318	cya-1
WBGene00000864	32	cya-2
WBGene00000865	37672	cyb-1
WBGene00000866	9848	cyb-2.1
WBGene00000867	16502	cyb-2.2
WBGene00000868	74206	cyb-3
WBGene00000869	18545	cyc-1
WBGene00000870	815	cyd-1
WBGene00000871	14353	cye-1
WBGene00000872	7038	cyk-1
WBGene00000874	5769	cyk-3
WBGene00000875	20165	cyk-4
WBGene00000876	9382	cyl-1
WBGene00000877	6213	cyn-1
WBGene00000878	173	cyn-2
WBGene00000879	15238	cyn-3
WBGene00000880	6674	cyn-4
WBGene00000881	15476	cyn-5
WBGene00000882	1220	cyn-6
WBGene00000883	89697	cyn-7
WBGene00000884	3950	cyn-8
WBGene00000885	3484	cyn-9
WBGene00000886	3697	cyn-10
WBGene00000887	3124	cyn-11
WBGene00000888	3761	cyn-12
WBGene00000889	6187	cyn-13
WBGene00000890	5493	sig-7
WBGene00000891	5363	cyn-15
WBGene00000892	3438	cyn-16
WBGene00000893	88	cyn-17
WBGene00000894	33847	dab-1
WBGene00000895	33	dac-1
WBGene00000896	9074	dad-1
WBGene00000897	3124	daf-1
WBGene00000898	11165	daf-2
WBGene00000899	1550	daf-3
WBGene00000900	4245	daf-4
WBGene00000901	2378	daf-5
WBGene00000902	56	daf-6
WBGene00000903	123	daf-7
WBGene00000904	729	daf-8
WBGene00000905	29	daf-9
WBGene00000906	48	daf-10
WBGene00000907	27	daf-11
WBGene00000908	1026	daf-12
WBGene00000910	516	daf-14
WBGene00000911	14916	daf-15
WBGene00000912	8326	daf-16
WBGene00000913	65507	daf-18
WBGene00000914	2541	daf-19
WBGene00000915	171596	hsp-90
WBGene00000917	2166	daf-25
WBGene00000920	104	daf-28
WBGene00000923	5152	daf-31
WBGene00000928	580	dao-2
WBGene00000929	2762	dao-3
WBGene00000930	9	dao-4
WBGene00000931	16392	dao-5
WBGene00000932	54	dao-6
WBGene00000933	3129	dap-3
WBGene00000934	50	dat-1
WBGene00000935	30974	daz-1
WBGene00000936	177	dbl-1
WBGene00000937	3746	dbr-1
WBGene00000938	7532	dcp-66
WBGene00000939	14806	dcr-1
WBGene00000940	4045	dcs-1
WBGene00000941	2578	ddp-1
WBGene00000942	1787	deb-1
WBGene00000950	146	deg-1
WBGene00000951	64	deg-3
WBGene00000952	26	del-1
WBGene00000953	40	del-2
WBGene00000955	72	des-2
WBGene00000958	196	dgk-1
WBGene00000959	1189	dgk-2
WBGene00000960	14	dgk-3
WBGene00000961	2032	dgn-1
WBGene00000962	36980	dhc-1
WBGene00000963	494	dhp-1
WBGene00000964	264	dhp-2
WBGene00000965	5582	dhs-1
WBGene00000966	3113	dhs-2
WBGene00000967	3766	dhs-3
WBGene00000968	31	dhs-4
WBGene00000969	463	dhs-5
WBGene00000970	5543	dhs-6
WBGene00000971	98	dhs-7
WBGene00000972	75	dhs-8
WBGene00000973	1564	dhs-9
WBGene00000974	1604	dhs-11
WBGene00000975	3005	dhs-12
WBGene00000976	5027	dhs-13
WBGene00000977	820	dhs-14
WBGene00000978	30	dhs-15
WBGene00000979	69	dhs-16
WBGene00000980	1312	dhs-17
WBGene00000981	915	dhs-18
WBGene00000982	3008	dhs-19
WBGene00000983	1707	dhs-20
WBGene00000984	853	dhs-21
WBGene00000985	11247	dhs-22
WBGene00000986	245	dhs-23
WBGene00000987	2650	dhs-24
WBGene00000988	764	dhs-25
WBGene00000989	3464	dhs-26
WBGene00000990	440	dhs-27
WBGene00000991	4844	dhs-28
WBGene00000992	251	dhs-29
WBGene00000993	1458	dhs-30
WBGene00000994	3624	ints-6
WBGene00000995	4725	die-1
WBGene00000996	6033	dif-1
WBGene00000998	1770	dig-1
WBGene00001000	3314	dim-1
WBGene00001001	8492	dis-3
WBGene00001002	6425	div-1
WBGene00001005	17586	dlc-1
WBGene00001006	2351	dlg-1
WBGene00001007	6429	dli-1
WBGene00001008	1223	dlk-1
WBGene00001016	9124	dna-2
WBGene00001017	10161	dnc-1
WBGene00001018	5577	dnc-2
WBGene00001019	5455	dnj-1
WBGene00001020	2569	dnj-2
WBGene00001021	639	dnj-3
WBGene00001022	1923	dnj-4
WBGene00001023	39213	dnj-5
WBGene00001025	2399	dnj-7
WBGene00001026	8558	dnj-8
WBGene00001027	3080	dnj-9
WBGene00001028	3807	dnj-10
WBGene00001029	21144	dnj-11
WBGene00001030	20049	dnj-12
WBGene00001031	11319	dnj-13
WBGene00001032	2162	dnj-14
WBGene00001033	2464	dnj-15
WBGene00001034	3976	dnj-16
WBGene00001035	3837	dnj-17
WBGene00001036	2706	dnj-18
WBGene00001037	19139	dnj-19
WBGene00001038	9815	dnj-20
WBGene00001039	930	dnj-21
WBGene00001040	5283	dnj-22
WBGene00001041	6230	dnj-23
WBGene00001042	568	dnj-24
WBGene00001043	5797	dnj-25
WBGene00001044	2008	dnj-26
WBGene00001045	2305	dnj-27
WBGene00001046	3265	dnj-28
WBGene00001047	13752	dnj-29
WBGene00001048	3280	dnj-30
WBGene00001049	5681	dog-1
WBGene00001050	2739	dom-3
WBGene00001051	13341	cks-1
WBGene00001052	56	dop-1
WBGene00001053	137	dop-2
WBGene00001054	129	dpf-1
WBGene00001055	1453	dpf-2
WBGene00001056	22664	dpf-3
WBGene00001057	5659	dpf-4
WBGene00001058	17729	dpf-5
WBGene00001059	495	dpf-6
WBGene00001060	5695	dpf-7
WBGene00001061	11031	dpl-1
WBGene00001062	0	dpr-1
WBGene00001063	149	dpy-1
WBGene00001064	251	dpy-2
WBGene00001065	201	dpy-3
WBGene00001066	1295	dpy-4
WBGene00001067	1173	dpy-5
WBGene00001068	81	dpy-6
WBGene00001069	215	dpy-7
WBGene00001070	196	dpy-8
WBGene00001071	159	dpy-9
WBGene00001072	335	dpy-10
WBGene00001073	8347	dpy-11
WBGene00001074	1333	dpy-13
WBGene00001075	1511	dpy-14
WBGene00001076	1832	dpy-17
WBGene00001077	2189	dpy-18
WBGene00001078	704	dpy-19
WBGene00001079	28	dpy-20
WBGene00001080	3586	dpy-21
WBGene00001081	6580	dpy-22
WBGene00001082	3058	dpy-23
WBGene00001085	13093	dpy-26
WBGene00001086	4744	dpy-27
WBGene00001087	10787	dpy-28
WBGene00001088	8410	dpy-30
